pattern_id,link_id,url,source,price
990044,1,https://www.ravelry.com/patterns/library/musselburgh,Ravelry,6.0 GBP
857493,1,https://www.ravelry.com/patterns/library/oslo-hat-5,Ravelry,35.0 DKK
7392714,1,https://www.ravelry.com/patterns/library/sophie-hood,Ravelry,35.0 DKK
899479,1,https://www.ravelry.com/patterns/library/classic-ribbed-hat-5,Ravelry,Free
1300588,1,https://www.ravelry.com/patterns/library/weekend-hat-5,Ravelry,35.0 DKK
1353734,1,https://www.ravelry.com/patterns/library/alpine-bloom-hat,Ravelry,5.0 USD
7340640,1,https://www.ravelry.com/patterns/library/the-traveler-hat,Ravelry,7.0 USD
7430947,1,https://www.ravelry.com/patterns/library/harlow-flip,Ravelry,7.0 USD
799982,1,https://www.ravelry.com/patterns/library/hipster-hat-10,Ravelry,35.0 DKK
1285536,1,https://www.ravelry.com/patterns/library/my-bakers-hat,Ravelry,Free
7440429,1,https://www.ravelry.com/patterns/library/billes-bucket-hat,Ravelry,30.0 DKK
7440661,1,https://www.ravelry.com/patterns/library/yooper-knit-hat,Ravelry,4.0 USD
7440440,1,https://www.ravelry.com/patterns/library/all-days-hat,Ravelry,30.0 DKK
625513,1,https://www.ravelry.com/patterns/library/jasons-cashmere-hat,Ravelry,Free
1296459,1,https://www.ravelry.com/patterns/library/gro-hat,Ravelry,45.0 DKK
7344807,1,https://www.ravelry.com/patterns/library/top-knot-baby-hat-4,Ravelry,Free
7384067,1,https://www.ravelry.com/patterns/library/rustic-red-one-hat,Ravelry,Free
1174425,1,https://www.ravelry.com/patterns/library/hat-and-peak,Ravelry,8.0 CAD
124400,1,https://www.ravelry.com/patterns/library/sockhead-slouch-hat,Ravelry,Free
167528,1,https://www.ravelry.com/patterns/library/hat-shaped-hat,Ravelry,Free
1176966,1,https://www.ravelry.com/patterns/library/hat-135,Ravelry,Free
1256976,1,https://www.ravelry.com/patterns/library/hat-in-yak,Ravelry,Free
992554,1,https://www.ravelry.com/patterns/library/hat-for-joy,Ravelry,4.0 USD
1195462,1,https://www.ravelry.com/patterns/library/hat-on-the-go,Ravelry,Free
1213476,1,https://www.ravelry.com/patterns/library/manhattan-hat-2,Ravelry,7.0 USD
1080893,1,https://www.ravelry.com/patterns/library/hat-of-a-cat,Ravelry,Free
7421689,1,https://www.ravelry.com/patterns/library/hat-44-stair-steps,Ravelry,Free
676824,1,https://www.ravelry.com/patterns/library/hat-43-fish-adult-size,Ravelry,Free
7397422,1,https://www.ravelry.com/patterns/library/sparkly-new-year-hat,Ravelry,7.0 USD
1031159,1,https://www.ravelry.com/patterns/library/trapper-aviator-winter-hat,Ravelry,8.0 CAD
642204,1,https://www.ravelry.com/patterns/library/hat-18-scrap-happy,Ravelry,Free
1325992,1,https://www.ravelry.com/patterns/library/hat-for-thorin,Ravelry,7.0 USD
954741,1,https://www.ravelry.com/patterns/library/halloween-knit-hat,Ravelry,Free
677478,1,https://www.ravelry.com/patterns/library/hat-for-hugs-matching-hat-for-hug-boots,Ravelry,Free
1262705,1,https://www.ravelry.com/patterns/library/hat-for-a-dude,Ravelry,3.0 CAD
1213560,1,https://www.ravelry.com/patterns/library/hat-with-owls,Ravelry,5.99 USD
7354456,1,https://www.ravelry.com/patterns/library/hat-with-baby-owls,Ravelry,5.99 USD
7410839,1,https://www.ravelry.com/patterns/library/hat-volla,Ravelry,Free
1281269,1,https://www.ravelry.com/patterns/library/hat-for-all-seasons,Ravelry,Free
7414619,1,https://www.ravelry.com/patterns/library/swirly-hat-15,Ravelry,7.0 USD
1343785,1,https://www.ravelry.com/patterns/library/hat-jumping-frog,Ravelry,3.79 EUR
7287755,1,https://www.ravelry.com/patterns/library/hat-favorite-season,Ravelry,5.99 USD
22490,1,https://www.ravelry.com/patterns/library/baby-tri-peak-hat,Ravelry,Free
470230,1,https://www.ravelry.com/patterns/library/hat--wisdom,Ravelry,5.99 USD
482262,1,https://www.ravelry.com/patterns/library/hat-to-match-2,Ravelry,Free
710289,1,https://www.ravelry.com/patterns/library/hat-fluffy,Ravelry,Free
714981,1,https://www.ravelry.com/patterns/library/hat-101,Ravelry,5.0 GBP
7386975,1,https://www.ravelry.com/patterns/library/hat-cozy-season,Ravelry,5.99 USD
7380730,1,https://www.ravelry.com/patterns/library/hat-joyful-walk,Ravelry,4.99 USD
7412545,1,https://www.ravelry.com/patterns/library/hat-francia,Ravelry,4.99 USD
189474,1,https://www.ravelry.com/patterns/library/hat-with-heart,Ravelry,Free
1193532,1,https://www.ravelry.com/patterns/library/hat-for-dan,Ravelry,5.0 USD
